window,book,first_ch,last_ch,nodes,edges,avg_degree,density,avg_sentiment,positive_edges,negative_edges,balance
book_6_w018_027,book_6,18,27,22,134,12.1818,0.5801,0.4889,116,18,0.8681
book_6_w019_028,book_6,19,28,23,142,12.3478,0.5613,0.5138,124,18,0.8394
book_6_w020_029,book_6,20,29,24,154,12.8333,0.558,0.5527,134,20,0.8419
book_6_w021_030,book_6,21,30,27,177,13.1111,0.5043,0.6137,156,21,0.868
book_6_w022_031,book_6,22,31,27,182,13.4815,0.5185,0.5513,157,25,0.7969
book_6_w023_032,book_6,23,32,26,172,13.2308,0.5292,0.5642,159,13,0.8785
book_6_w024_033,book_6,24,33,25,163,13.04,0.5433,0.6296,146,17,0.8633
book_6_w025_034,book_6,25,34,23,134,11.6522,0.5296,0.56,112,22,0.8652
book_6_w026_035,book_6,26,35,25,124,9.92,0.4133,0.4943,99,25,0.8076
book_6_w027_036,book_6,27,36,28,152,10.8571,0.4021,0.3854,123,29,0.8373
book_6_w028_037,book_6,28,37,27,137,10.1481,0.3903,0.4126,103,34,0.7303
book_6_w029_038,book_6,29,38,28,143,10.2143,0.3783,0.3684,113,30,0.7264
book_6_w030_039,book_6,30,39,25,123,9.84,0.41,0.2463,90,33,0.7266
book_6_w031_040,book_6,31,40,23,106,9.2174,0.419,0.2355,72,34,0.6651
book_6_w032_041,book_6,32,41,24,117,9.75,0.4239,0.2694,80,37,0.6587
book_6_w033_042,book_6,33,42,24,116,9.6667,0.4203,0.2845,83,33,0.6371
book_6_w034_043,book_6,34,43,22,104,9.4545,0.4502,0.1917,64,40,0.5402
book_6_w035_044,book_6,35,44,15,63,8.4,0.6,0.1078,41,22,0.6772
book_6_w036_045,book_6,36,45,13,47,7.2308,0.6026,0.3912,39,8,0.8481
book_6_w037_046,book_6,37,46,12,40,6.6667,0.6061,0.3748,37,3,0.8525
book_6_w038_047,book_6,38,47,15,57,7.6,0.5429,0.2131,42,15,0.701
book_6_w039_048,book_6,39,48,14,49,7.0,0.5385,0.243,34,15,0.5897
book_6_w040_049,book_6,40,49,12,40,6.6667,0.6061,0.1608,24,16,0.5625
book_6_w041_050,book_6,41,50,11,39,7.0909,0.7091,0.1375,22,17,0.6212
book_6_w042_051,book_6,42,51,11,37,6.7273,0.6727,0.0725,23,14,0.6333
book_6_w043_052,book_6,43,52,12,46,7.6667,0.697,-0.1163,18,28,0.619
book_6_w044_053,book_6,44,53,12,45,7.5,0.6818,-0.0685,23,22,0.6875
book_6_w045_054,book_6,45,54,16,70,8.75,0.5833,0.0665,39,31,0.6
book_6_w046_055,book_6,46,55,19,86,9.0526,0.5029,0.1302,52,34,0.6215
book_6_w047_056,book_6,47,56,20,95,9.5,0.5,0.0695,59,36,0.5404
book_6_w048_057,book_6,48,57,21,99,9.4286,0.4714,0.0393,54,45,0.5545
book_6_w049_058,book_6,49,58,22,100,9.0909,0.4329,0.0186,59,41,0.62
book_6_w050_059,book_6,50,59,21,95,9.0476,0.4524,0.0797,58,37,0.5508
book_6_w051_060,book_6,51,60,32,173,10.8125,0.3488,0.2051,111,62,0.6148
